BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION,CURRENCYID,TRENDCLSPR,TRADE_SESSION_DATE
TQBR,2013-09-11,Сбербанк,SBER,45774,6605795155.6,96.45,95.25,96.73,95.5,95.92,95.5,68867470,95.92,95.92,95.92,6605022211.87,6605022211.87,6605022211.87,,3,SUR,-1.09,
TQBR,2013-09-12,Сбербанк,SBER,48752,7658174930.7,95.98,94.24,96.14,95.55,95.05,95.53,80569980,95.05,95.05,95.05,7655988060.34,7655988060.34,7655988060.34,,3,SUR,0.03,
TQBR,2013-09-13,Сбербанк,SBER,43497,5516277714.4,95.0,94.64,95.89,95.79,95.12,95.82,57993190,95.12,95.12,95.12,5514807036.11,5514807036.11,5514807036.11,,3,SUR,0.3,
TQBR,2013-09-16,Сбербанк,SBER,62872,10995687910.5,96.76,96.71,99.04,99.0,98.1,98.97,112092070,98.09,98.09,98.09,11145880884.84,11145880884.84,11145880884.84,,3,SUR,3.29,
TQBR,2013-09-17,Сбербанк,SBER,45496,6850120647.7,98.38,97.89,99.6,99.4,98.68,99.6,69417120,98.68,98.68,98.68,6863460146.87,6863460146.87,6863460146.87,,3,SUR,0.64,
TQBR,2013-09-18,Сбербанк,SBER,59150,10964601710.8,99.6,99.03,100.63,99.62,100.06,99.79,109579560,100.06,100.06,100.06,10983015412.13,10983015412.13,10983015412.13,,3,SUR,0.19,
TQBR,2013-09-19,Сбербанк,SBER,73104,16513891499.2,102.5,101.89,103.63,102.37,102.74,102.33,160727340,102.75,102.75,102.75,16497466560.11,16497466560.11,16497466560.11,,3,SUR,2.55,
TQBR,2013-09-20,Сбербанк,SBER,55935,8177558582.9,101.63,101.37,102.61,102.55,102.0,102.36,80174540,102.0,102.0,102.0,8180968915.14,8180968915.14,8180968915.14,,3,SUR,0.03,
TQBR,2013-09-23,Сбербанк,SBER,40032,8122027376.8,102.12,101.3,102.43,101.4,101.72,101.82,79846990,101.72,101.72,101.72,8139422530.57,8139422530.57,8139422530.57,,3,SUR,-0.53,
TQBR,2013-09-24,Сбербанк,SBER,42512,8236652132.7,101.3,100.37,101.56,100.41,100.89,100.5,81642090,100.89,100.89,100.89,8239611659.13,8239611659.13,8239611659.13,,3,SUR,-1.3,
TQBR,2013-09-25,Сбербанк,SBER,50747,7698481125.8,100.31,100.1,102.19,101.95,101.23,101.95,76053110,101.23,101.23,101.23,7703236659.23,7703236659.23,7703236659.23,,3,SUR,1.44,
TQBR,2013-09-26,Сбербанк,SBER,38937,7550149333.1,102.05,101.01,102.69,101.6,101.8,101.67,74163010,101.8,101.8,101.8,7549444180.39,7549444180.39,7549444180.39,,3,SUR,-0.27,
TQBR,2013-09-27,Сбербанк,SBER,56112,9039371230.2,101.8,98.58,101.8,98.7,100.0,98.59,90396330,100.0,100.0,100.0,9044591757.1,9044591757.1,9044591757.1,,3,SUR,-3.03,
TQBR,2013-09-30,Сбербанк,SBER,34867,6951275236.4,97.74,97.1,98.39,97.7,97.73,97.86,71124930,97.73,97.73,97.73,6942544768.27,6942544768.27,6942544768.27,,3,SUR,-0.74,
TQBR,2013-10-01,Сбербанк,SBER,46808,7348201302.0,97.8,97.75,99.34,99.15,98.64,99.16,74492480,98.65,98.65,98.65,7339340436.91,7339340436.91,7339340436.91,,3,SUR,1.33,
TQBR,2013-10-02,Сбербанк,SBER,44141,7832633780.8,98.94,97.27,99.4,97.71,98.06,97.74,79877890,98.06,98.06,98.06,7832175773.89,7832175773.89,7832175773.89,,3,SUR,-1.43,
TQBR,2013-10-03,Сбербанк,SBER,40263,7636356587.8,98.13,97.51,98.8,98.21,98.11,98.24,77836460,98.11,98.11,98.11,7637303174.93,7637303174.93,7637303174.93,,3,SUR,0.51,
TQBR,2013-10-04,Сбербанк,SBER,46081,8044032186.0,98.0,97.68,100.4,100.25,99.03,100.39,81230790,99.03,99.03,99.03,8042616921.78,8042616921.78,8042616921.78,,3,SUR,2.19,
TQBR,2013-10-07,Сбербанк,SBER,42573,8444238704.6,99.7,99.12,100.5,100.5,99.76,100.3,84643630,99.76,99.76,99.76,8439318058.46,8439318058.46,8439318058.46,,3,SUR,-0.09,
TQBR,2013-10-08,Сбербанк,SBER,57512,11492433220.8,100.3,99.9,102.26,101.91,101.18,102.11,113584170,101.18,101.18,101.18,11499941386.68,11499941386.68,11499941386.68,,3,SUR,1.8,
TQBR,2013-10-09,Сбербанк,SBER,55590,10134006225.6,101.79,101.05,103.01,101.55,102.05,101.48,99305220,102.05,102.05,102.05,10135019502.04,10135019502.04,10135019502.04,,3,SUR,-0.62,
TQBR,2013-10-10,Сбербанк,SBER,49463,11536048960.9,102.04,101.85,104.36,103.7,103.19,103.43,111791100,103.19,103.19,103.19,11545450740.91,11545450740.91,11545450740.91,,3,SUR,1.92,
TQBR,2013-10-11,Сбербанк,SBER,57191,9490899050.7,104.0,102.42,104.16,102.8,103.26,102.87,91915670,103.26,103.26,103.26,9493294413.16,9493294413.16,9493294413.16,,3,SUR,-0.54,
TQBR,2013-10-14,Сбербанк,SBER,34414,6785594668.1,102.4,101.71,103.0,103.0,102.36,102.93,66291240,102.36,102.36,102.36,6784566650.02,6784566650.02,6784566650.02,,3,SUR,0.06,
TQBR,2013-10-15,Сбербанк,SBER,53968,10744237384.9,103.91,103.52,104.89,104.7,104.21,104.55,103099720,104.21,104.21,104.21,10737502334.5,10737502334.5,10737502334.5,,3,SUR,1.57,
TQBR,2013-10-16,Сбербанк,SBER,47788,8826344719.3,104.05,103.6,105.09,104.04,104.31,104.05,84614620,104.31,104.31,104.31,8822556045.73,8822556045.73,8822556045.73,,3,SUR,-0.48,
TQBR,2013-10-17,Сбербанк,SBER,44225,8559085005.9,104.2,102.36,104.37,103.4,103.11,103.33,83012030,103.1,103.1,103.1,8544736979.07,8544736979.07,8544736979.07,,3,SUR,-0.69,
TQBR,2013-10-18,Сбербанк,SBER,54124,12103001187.6,103.98,103.61,105.64,105.35,104.79,105.14,115501360,104.79,104.79,104.79,12099225475.07,12099225475.07,12099225475.07,,3,SUR,1.75,
