BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION,CURRENCYID,TRENDCLSPR,TRADE_SESSION_DATE
TQBR,2024-11-28,Т-Техно ао,T,226765,23428426684.4,2390.0,2330.4,2416.6,2380.0,2375.6,2367.0,9862491,2375.6,2375.6,,21138762579.6,21138762579.6,,0,3,SUR,-0.75,
TQBR,2024-11-29,Т-Техно ао,T,174566,18591390509.4,2362.0,2351.2,2424.0,2404.8,2391.2,2387.8,7774611,2391.0,2391.0,,17077656475.6,17077656475.6,,0,3,SUR,0.88,
TQBR,2024-12-02,Т-Техно ао,T,171477,14937026672.0,2404.0,2388.4,2430.6,2399.0,2403.2,2392.2,6214953,2404.0,2404.0,,13848600668.4,13848600668.4,,0,3,SUR,0.18,
TQBR,2024-12-03,Т-Техно ао,T,147966,14655955327.6,2397.8,2340.0,2402.6,2365.8,2365.0,2352.0,6196687,2366.2,2366.2,,13242959855.6,13242959855.6,,0,3,SUR,-1.68,
TQBR,2024-12-04,Т-Техно ао,T,202449,19466965200.0,2354.0,2272.0,2386.0,2330.0,2342.8,2288.6,8309368,2360.0,2360.0,,14768787847.2,14768787847.2,,0,3,SUR,-2.7,
TQBR,2024-12-05,Т-Техно ао,T,244240,22623542126.8,2295.0,2283.0,2374.6,2344.4,2323.4,2371.0,9736023,2314.4,2314.4,,18352531969.8,18352531969.8,,0,3,SUR,3.6,
TQBR,2024-12-06,Т-Техно ао,T,183491,19800420078.8,2376.0,2336.0,2390.0,2370.8,2363.8,2350.0,8375821,2364.6,2364.6,,17497160063.6,17497160063.6,,0,3,SUR,-0.89,
TQBR,2024-12-09,Т-Техно ао,T,145719,15012071993.4,2382.8,2365.0,2410.0,2397.2,2385.8,2395.0,6292380,2384.6,2384.6,,13589168263.6,13589168263.6,,0,3,SUR,1.91,
TQBR,2024-12-10,Т-Техно ао,T,161651,15573120671.0,2397.4,2342.0,2398.0,2349.0,2362.0,2345.2,6593828,2362.8,2362.8,,14528884910.8,14528884910.8,,0,3,SUR,-2.08,
TQBR,2024-12-11,Т-Техно ао,T,117118,12192565896.8,2346.0,2328.4,2351.2,2339.0,2340.6,2346.4,5209213,2339.8,2339.8,,9483264778.6,9483264778.6,,0,3,SUR,0.05,
TQBR,2024-12-12,Т-Техно ао,T,112146,11496911970.6,2351.0,2302.2,2358.6,2324.4,2339.8,2305.4,4913532,2344.2,2344.2,,9853538493.2,9853538493.2,,0,3,SUR,-1.75,
TQBR,2024-12-13,Т-Техно ао,T,98057,9826702135.6,2305.2,2285.8,2312.8,2299.2,2298.4,2289.0,4275645,2298.8,2298.8,,8952483984.2,8952483984.2,,0,3,SUR,-0.71,
TQBR,2024-12-16,Т-Техно ао,T,179518,18389508970.2,2284.6,2180.2,2287.2,2221.0,2244.0,2182.0,8219587,2246.6,2246.6,,13156392485.4,13156392485.4,,0,3,SUR,-4.67,
TQBR,2024-12-17,Т-Техно ао,T,149225,14929723726.8,2194.6,2192.0,2221.6,2203.0,2207.4,2221.4,6763471,2206.8,2206.8,,13273491664.6,13273491664.6,,0,3,SUR,1.81,
TQBR,2024-12-18,Т-Техно ао,T,135396,16729124418.4,2223.2,2207.0,2268.0,2229.0,2231.4,2260.2,7497003,2219.2,2219.2,,10641625446.0,10641625446.0,,0,3,SUR,1.75,
TQBR,2024-12-19,Т-Техно ао,T,206715,22657561453.0,2260.0,2244.4,2299.8,2260.0,2275.4,2272.0,9957933,2275.6,2275.6,,21108837729.8,21108837729.8,,0,3,SUR,0.52,
TQBR,2024-12-20,Т-Техно ао,T,331477,41703474309.8,2272.0,2263.4,2600.0,2548.2,2486.2,2543.0,16773829,2478.6,2478.6,,35903669168.0,35903669168.0,,0,3,SUR,11.93,
TQBR,2024-12-23,Т-Техно ао,T,257280,32578025912.6,2601.6,2572.2,2640.0,2622.0,2618.4,2624.4,12442170,2618.2,2618.2,,29998641174.2,29998641174.2,,0,3,SUR,3.2,
TQBR,2024-12-24,Т-Техно ао,T,178428,25233988696.0,2621.0,2565.2,2628.2,2575.8,2600.6,2569.6,9703547,2603.2,2603.2,,23061967137.0,23061967137.0,,0,3,SUR,-2.09,
TQBR,2024-12-25,Т-Техно ао,T,210054,28959363765.4,2562.2,2556.0,2641.8,2617.8,2606.2,2634.4,11111715,2601.6,2601.6,,24410838467.6,24410838467.6,,0,3,SUR,2.52,
TQBR,2024-12-26,Т-Техно ао,T,140462,19155557491.6,2642.0,2622.2,2659.0,2645.0,2642.6,2625.8,7248883,2643.6,2643.6,,15734789859.2,15734789859.2,,0,3,SUR,-0.33,
TQBR,2024-12-27,Т-Техно ао,T,81514,11902731198.8,2630.2,2617.0,2645.0,2630.4,2634.4,2637.0,4518292,2634.0,2634.0,,9595555653.0,9595555653.0,,0,3,SUR,0.43,
TQBR,2024-12-28,Т-Техно ао,T,71129,10772956712.0,2640.0,2638.4,2665.2,2657.0,2655.0,2662.8,4057613,2654.2,2654.2,,8737134468.8,8737134468.8,,0,3,SUR,0.98,
TQBR,2024-12-30,Т-Техно ао,T,97354,14525287923.6,2687.4,2677.6,2752.2,2732.0,2723.2,2752.2,5333925,2720.0,2720.0,,11606091255.0,11606091255.0,,0,3,SUR,3.36,
TQBR,2025-01-03,Т-Техно ао,T,96207,12596905547.2,2755.0,2678.0,2765.0,2689.4,2713.6,2687.6,4642298,2716.2,2716.2,,11298492839.6,11298492839.6,,0,3,SUR,-2.35,
TQBR,2025-01-06,Т-Техно ао,T,108391,14854270161.6,2660.0,2645.0,2717.2,2709.0,2690.4,2714.0,5521016,2687.8,2687.8,,12817518281.8,12817518281.8,,0,3,SUR,0.98,
TQBR,2025-01-08,Т-Техно ао,T,83495,13450649051.2,2707.6,2705.0,2759.0,2751.6,2739.0,2750.6,4910929,2737.6,2737.6,,12160887239.2,12160887239.2,,0,3,SUR,1.35,
TQBR,2025-01-09,Т-Техно ао,T,197832,30489107348.0,2752.8,2712.8,2792.6,2737.4,2746.2,2734.0,11102461,2747.2,2747.2,,28080622672.2,28080622672.2,,0,3,SUR,-0.6,
TQBR,2025-01-10,Т-Техно ао,T,307942,48046472579.0,2755.0,2738.2,2900.0,2874.8,2827.0,2900.0,16996299,2816.0,2816.0,,40448219626.4,40448219626.4,,0,3,SUR,6.07,
TQBR,2025-01-13,Т-Техно ао,T,313036,49310997904.8,2967.6,2874.0,2999.0,2942.0,2945.0,2891.6,16744413,2954.0,2954.0,,40966665821.8,40966665821.8,,0,3,SUR,-0.29,
TQBR,2025-01-14,Т-Техно ао,T,212171,32657515056.6,2873.0,2864.6,2959.4,2924.2,2924.8,2938.0,11165469,2925.2,2925.2,,27556283645.2,27556283645.2,,0,3,SUR,1.6,
TQBR,2025-01-15,Т-Техно ао,T,135173,21195414451.8,2937.4,2906.6,2995.4,2923.0,2951.0,2985.6,7182072,2927.8,2927.8,,10557682970.0,10557682970.0,,0,3,SUR,1.62,
TQBR,2025-01-16,Т-Техно ао,T,105174,14527497013.2,2995.0,2965.4,3012.2,2987.8,2990.6,2980.8,4857781,2991.4,2991.4,,12844582507.2,12844582507.2,,0,3,SUR,-0.16,
TQBR,2025-01-17,Т-Техно ао,T,94581,15641355708.6,2985.0,2962.0,3053.0,3028.0,3009.2,3052.8,5197476,2999.4,2999.4,,11822742625.6,11822742625.6,,0,3,SUR,2.42,
TQBR,2025-01-20,Т-Техно ао,T,131901,20770481956.0,3090.0,2936.8,3108.0,3002.4,3033.0,2969.8,6848888,3044.6,3044.6,,16669567142.0,16669567142.0,,0,3,SUR,-2.72,
TQBR,2025-01-21,Т-Техно ао,T,77104,11947011547.4,2988.0,2970.0,3057.6,3043.8,3009.4,3041.8,3969570,3004.8,3004.8,,10079278526.8,10079278526.8,,0,3,SUR,2.42,
TQBR,2025-01-22,Т-Техно ао,T,81487,12639331349.6,3044.6,2990.0,3075.4,3058.0,3031.6,3005.8,4169278,3040.0,3040.0,,7298461522.0,7298461522.0,,0,3,SUR,-1.18,
TQBR,2025-01-23,Т-Техно ао,T,59034,8685280660.8,3007.0,2976.4,3025.0,2990.0,3002.8,3022.2,2892449,3003.2,3003.2,,6360407493.0,6360407493.0,,0,3,SUR,0.55,
TQBR,2025-01-24,Т-Техно ао,T,52728,7719849129.4,3022.8,2996.0,3039.0,3017.8,3022.4,3009.6,2554246,3023.6,3023.6,,6837632116.2,6837632116.2,,0,3,SUR,-0.42,
TQBR,2025-01-27,Т-Техно ао,T,69246,8746115019.6,3011.2,2903.2,3016.4,2974.0,2975.4,2912.8,2939497,2988.2,2988.2,,5933573158.0,5933573158.0,,0,3,SUR,-3.22,
TQBR,2025-01-28,Т-Техно ао,T,97874,14145680836.6,2912.8,2881.0,3013.0,3000.0,2958.4,3004.6,4782338,2955.2,2955.2,,10319178176.8,10319178176.8,,0,3,SUR,3.15,
TQBR,2025-01-29,Т-Техно ао,T,73906,11831625631.8,3003.0,2990.8,3045.0,3025.0,3022.6,3020.2,3914518,3022.6,3022.6,,8828363040.6,8828363040.6,,0,3,SUR,0.52,
TQBR,2025-01-30,Т-Техно ао,T,65879,10806111945.4,3021.0,3021.0,3067.8,3059.0,3045.2,3057.0,3548643,3043.8,3043.8,,9053212898.2,9053212898.2,,0,3,SUR,1.22,
TQBR,2025-01-31,Т-Техно ао,T,74481,11844114777.2,3059.6,3037.4,3098.8,3049.4,3069.6,3041.8,3858582,3072.4,3072.4,,9964577474.0,9964577474.0,,0,3,SUR,-0.5,
TQBR,2025-02-03,Т-Техно ао,T,72327,9251654490.6,3035.2,2990.8,3049.0,3004.6,3015.2,3036.2,3068200,3009.2,3009.2,,6168757998.4,6168757998.4,,0,3,SUR,-0.18,
TQBR,2025-02-04,Т-Техно ао,T,55616,7811175764.6,3037.2,2992.8,3056.8,3032.4,3030.4,3000.6,2577578,3038.8,3038.8,,5494834721.6,5494834721.6,,0,3,SUR,-1.17,
